,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8,dim 9,dim 10,dim 11,dim 12,MPa,Error_GRF,MechWork,ErrorMom,RoM,Experiment No.
62,0.442,1.4909999999999999,0.359,2.064,0.39,-1.25,0.08800000000000001,0.9490000000000001,0.8540000000000001,0.89,0.304,0.945,673.9385,0.030145157310899867,13.536628546828675,1.4612334262120756,28.055755123709996,63.0
63,0.43799999999999994,1.925,0.171,0.848,0.586,-69.65,0.278,0.755,1.204,0.747,0.266,0.966,707.6811,0.01561312486208367,7.229554730767193,1.1493298169222002,23.212151795830003,64.0
64,0.718,0.762,0.18100000000000002,1.661,0.9540000000000001,-37.25,0.188,0.85,1.0390000000000001,0.978,1.084,0.924,808.9932,0.024464548148025574,11.534760539941162,1.092927056895231,30.794109878832998,65.0
65,0.278,1.801,0.054000000000000006,1.119,0.99,42.85,0.778,0.794,0.821,0.653,1.406,0.8959999999999999,594.6591,0.020847147647504588,6.0559615715304265,1.8123922996707127,21.55041718445,66.0
66,0.518,1.7619999999999998,0.489,2.002,0.9620000000000001,75.25,0.612,0.659,1.121,0.887,0.574,0.9179999999999999,679.2767,0.03513759145520511,7.767345603732211,1.726591066968379,29.782592773,67.0
67,0.292,0.9329999999999999,0.201,1.344,0.6579999999999999,33.85,0.718,0.5660000000000001,0.991,0.7190000000000001,0.45399999999999996,0.8220000000000001,607.4073,0.015635108456180224,4.715988552319394,0.9820783405594076,24.5744297506,68.0
68,0.28800000000000003,1.1420000000000001,0.42100000000000004,1.855,0.20199999999999999,56.35,0.43200000000000005,0.544,0.8190000000000001,0.807,0.47600000000000003,0.723,636.7584,0.029208405802230417,8.969516074793306,1.2190869132938478,29.009165344833,69.0
69,0.212,1.6540000000000001,0.326,1.196,0.85,5.95,0.772,0.758,0.861,0.59,1.1740000000000002,0.809,593.9211,0.014676650363568546,4.513420550475787,1.7251139882949251,20.127121932652,70.0
70,0.9620000000000001,1.84,0.051,1.53,0.258,68.95,0.138,0.848,0.7609999999999999,1.044,0.6559999999999999,0.981,458.8307,0.0220460960040576,6.827116381369783,0.8384460820889006,24.040044784200006,71.0
71,0.812,1.785,0.484,1.871,0.426,-12.95,0.5720000000000001,0.888,1.246,1.0270000000000001,1.024,0.722,796.4468,0.034915946245979934,12.329432414003616,1.3473847097662688,30.441264077960003,72.0
72,0.782,1.3130000000000002,0.026000000000000002,1.956,0.91,-41.75,0.332,0.852,1.171,1.0490000000000002,0.626,0.701,734.0746,0.03599247658687189,14.385055599296267,1.3379552477079153,31.314098358000003,73.0
73,0.342,2.173,0.23600000000000002,1.669,0.746,83.35,0.8079999999999999,0.645,1.229,0.6890000000000001,0.649,0.821,693.8878,0.030065913343417527,0.2569611421845449,1.1847183510080903,22.059619993066004,74.0
74,0.322,1.0490000000000002,0.39399999999999996,1.7469999999999999,0.226,-50.75,0.903,0.895,0.8340000000000001,1.008,1.159,0.71,788.2428,0.02804617310703049,13.66466657136724,1.1605485061807763,30.628946498390004,75.0
75,0.982,1.6230000000000002,0.24600000000000002,1.584,0.986,-61.55,0.038,0.708,0.7909999999999999,1.063,1.369,0.8690000000000001,660.7645,0.033109901491127094,16.842500497456953,1.572856861076956,31.31847462032,76.0
76,0.8420000000000001,1.685,0.45899999999999996,1.4909999999999999,0.442,-26.45,0.552,0.787,1.206,0.78,0.16899999999999998,0.977,726.949,0.01911807277529621,7.592816199928665,1.1711212148228438,24.41457049595,77.0
77,0.638,1.429,0.016,1.9869999999999999,0.24600000000000002,-70.55,0.782,0.652,1.131,1.0,1.054,0.8909999999999999,718.7076,0.02496646603069734,11.399322889399727,1.484380414070961,30.032828889888002,78.0
78,0.653,0.871,0.011000000000000001,1.01,0.39399999999999996,98.65,0.758,0.899,0.889,0.9890000000000001,1.4140000000000001,0.833,695.2711,0.02093962648709431,3.8441804245623485,0.6011951989508778,28.5016937259,79.0
79,0.33799999999999997,1.7930000000000001,0.466,1.8090000000000002,0.622,-60.65,0.308,0.5529999999999999,1.141,0.851,0.424,0.72,720.2449,0.02531171141546236,7.079391855399934,1.9622152587457768,26.094224091666003,80.0
80,0.312,1.886,0.316,2.188,0.934,-77.75,0.192,0.695,1.064,0.826,0.311,0.794,650.9705,0.03812575491334776,0.19727739191408195,2.239229162778033,24.89006364297,81.0
81,0.512,1.584,0.076,1.561,0.21,-75.95,0.37799999999999995,0.6829999999999999,0.909,0.8320000000000001,0.161,0.9840000000000001,689.0914,0.028452703761874167,11.78129168458087,1.5999427073995167,25.56022724555,82.0
82,0.9079999999999999,0.685,0.386,2.126,0.37,47.35,0.062,0.713,1.1840000000000002,0.6920000000000001,1.496,0.873,595.0484,0.017999433891604143,4.3400981873902404,0.8390838345865171,26.555651880808007,83.0
83,0.5579999999999999,0.879,0.409,1.909,0.242,28.45,0.10300000000000001,0.65,1.044,1.033,0.094,0.759,697.5815,0.01952531335689027,7.9009773507092325,0.8013339277761514,28.8993253709,84.0
84,0.9229999999999999,1.235,0.289,2.173,0.27,1.45,0.23199999999999998,0.935,0.8440000000000001,0.804,0.29600000000000004,0.846,631.2935,0.03383501825244215,11.29538692010241,1.7364525603875778,25.310460745980002,85.0
85,0.612,1.871,0.019,1.258,0.846,-63.35,0.027999999999999997,0.623,0.9209999999999999,0.81,1.256,0.7040000000000001,617.3204,0.02966641061931718,10.560378263607324,1.7678493130584794,25.143754959000002,86.0
86,0.943,1.568,0.474,1.15,0.41,62.65,0.597,0.8809999999999999,0.759,0.818,1.0390000000000001,0.915,657.5762,0.03316634823226668,11.442014716302072,1.4054886090472452,28.769050166466,87.0
87,0.6629999999999999,1.53,0.426,1.8319999999999999,0.8220000000000001,-22.85,0.152,0.638,1.149,0.903,0.821,0.777,738.4615,0.030471514025410557,10.982434876372052,1.5058922199958722,27.3797397914,88.0
88,0.008,2.064,0.249,1.251,0.406,70.75,0.318,0.715,0.9059999999999999,0.873,0.27399999999999997,0.818,670.9285,0.03745252604658797,13.073304698235777,1.5719254267147522,29.299455925502,89.0
89,0.792,1.669,0.266,1.4680000000000002,0.718,-76.85,0.268,0.535,0.929,0.598,0.8740000000000001,0.711,585.6743,0.02022633655566336,1.3704460738730948,2.1151701519247417,18.86747470541,90.0
90,0.17300000000000001,1.266,0.184,1.328,0.542,72.55,0.11199999999999999,0.818,0.779,0.648,0.731,0.848,606.3315,0.024682088503933625,7.855401499376473,1.3687549557290852,26.308487508477008,91.0
91,0.298,0.863,0.271,1.0959999999999999,0.662,-31.85,0.498,0.836,0.986,0.8540000000000001,0.769,0.866,723.2130000000001,0.011488050115296009,7.050878418312743,0.8907940332204217,25.264943361799997,92.0
92,0.062,1.778,0.16899999999999998,1.32,0.81,-0.35,0.008,0.767,0.754,0.997,0.6709999999999999,0.7759999999999999,592.6942,0.025305784919176358,13.870870813398561,1.2146752691796652,29.2124363179,93.0
93,0.37200000000000005,1.08,0.156,0.8320000000000001,0.45399999999999996,-20.15,0.5479999999999999,0.8340000000000001,0.9490000000000001,0.9470000000000001,0.9940000000000001,0.716,750.8461,0.012578434749752914,7.585501946912068,0.8167796592933041,26.8412508962,94.0
94,0.688,1.406,0.284,1.9169999999999998,0.83,-18.35,0.018000000000000002,0.8029999999999999,0.831,0.612,0.701,0.8029999999999999,597.039,0.02684578414479958,0.08699871844531888,2.133972340154657,19.398854255270003,95.0
95,0.617,1.173,0.33399999999999996,0.9640000000000001,0.978,95.95,0.708,0.6629999999999999,1.114,1.03,0.319,0.9209999999999999,679.1374,0.025961564704736616,4.5930023328179646,0.6113597439460678,29.0612764359,96.0
96,0.867,1.328,0.111,1.367,0.8340000000000001,-75.05,0.6829999999999999,0.674,0.8059999999999999,0.991,1.3159999999999998,0.99,700.1185,0.029173557251373924,14.315164588420382,1.2536151719006554,30.20488408242,97.0
97,0.073,1.3980000000000001,0.306,1.7930000000000001,0.938,91.45,0.7020000000000001,0.8,1.219,0.642,0.461,0.858,673.0388,0.02349491905888157,1.0256095349571868,0.8369098657603067,23.4514388885,98.0
98,0.802,1.94,0.013999999999999999,0.987,0.55,-58.85,0.5920000000000001,0.654,1.0590000000000002,0.865,1.129,0.726,686.2457,0.02143112616623884,10.235332677304557,1.4111800113983817,26.642343521,99.0
99,0.11199999999999999,1.367,0.024,0.879,0.33399999999999996,0.55,0.9229999999999999,0.863,0.8740000000000001,0.763,1.234,0.951,635.5986,0.01440644371408862,6.934221556868075,1.197693234333919,24.3046317096,100.0
100,0.228,2.1959999999999997,0.07400000000000001,1.041,0.6859999999999999,-65.15,0.512,0.6,1.0759999999999998,0.958,0.664,0.917,708.1089,0.02908928319981745,12.391452698335971,1.5251549164216076,29.058067322,101.0
101,0.392,2.08,0.094,1.3359999999999999,0.598,4.15,0.068,0.737,1.074,0.615,1.249,0.7979999999999999,617.9212,0.026449564499712305,0.0761808049109412,1.888361467073386,19.770220871665998,102.0
102,0.413,0.925,0.45399999999999996,1.072,0.502,40.15,0.222,0.546,1.101,0.7909999999999999,0.634,0.738,692.1831,0.0133869053918174,4.06368560935035,0.8006627738481638,24.8871192936,103.0
103,0.693,1.933,0.324,0.716,0.754,38.35,0.302,0.782,1.001,0.5539999999999999,0.379,0.912,600.7794,0.023092545453750786,0.43776580037211055,1.5873217517081124,19.992689702477,104.0
104,0.14300000000000002,1.344,0.154,1.235,0.9059999999999999,-14.75,0.408,0.519,0.7959999999999999,0.733,0.986,0.8059999999999999,617.8281,0.024777731914247092,10.996973717081476,1.6890196315012804,24.66493636389,105.0
105,0.408,1.258,0.469,1.94,0.39799999999999996,-64.25,0.693,0.94,0.794,0.557,1.0759999999999998,0.9470000000000001,641.8085,0.021719125716895687,0.02509458801099157,2.0005971071495185,17.67099931884,106.0
106,0.478,1.034,0.264,1.933,0.67,-73.25,0.322,0.526,1.031,0.573,0.544,0.9690000000000001,661.8787,0.014395584995422638,0.3032583490928413,1.957086928068552,18.456911891933,107.0
107,0.022000000000000002,1.39,0.209,0.863,0.642,-10.25,0.462,0.67,0.8859999999999999,1.0959999999999999,1.376,0.728,794.3337,0.019098056376860257,8.42791123853401,0.7217579338238835,31.292135953799995,108.0
108,0.6829999999999999,2.01,0.21600000000000003,1.607,0.818,26.65,0.048,0.506,1.2409999999999999,0.9059999999999999,1.181,0.752,674.1452,0.037525069045479545,9.083348993286464,1.6920191890355332,27.594753906405,109.0
109,0.222,2.0180000000000002,0.141,1.165,0.7340000000000001,94.15,0.972,0.7979999999999999,1.129,0.752,0.055999999999999994,0.8370000000000001,683.5546,0.02256326808109535,5.341417290012396,0.9051665981463268,24.532780654652,110.0
110,0.042,1.475,0.166,0.871,0.498,50.05,0.8370000000000001,0.679,1.084,0.584,1.354,0.7559999999999999,628.5819,0.011610166787163782,2.177125616838587,0.6903688051612752,22.70413208,111.0
111,0.9179999999999999,0.9790000000000001,0.121,1.46,0.37799999999999995,55.45,0.39799999999999996,0.524,1.214,0.87,0.221,0.779,645.9326,0.016733260243809226,4.041448326368218,0.6548005259778001,26.7059884072,112.0
112,0.252,1.8090000000000002,0.446,1.8630000000000002,0.514,54.55,0.738,0.8270000000000001,0.9740000000000001,0.9640000000000001,0.6940000000000001,0.968,700.5214,0.043131383677163015,13.536227323088012,1.6747790848060689,29.53346650303,113.0
113,0.768,1.716,0.294,0.7390000000000001,0.366,58.15,0.617,0.922,1.136,1.088,0.409,0.9,767.4966,0.030911879705464555,9.923916612058694,0.7996302645239849,35.24279737505999,114.0
114,0.948,1.5919999999999999,0.406,0.972,0.762,-6.65,0.452,0.812,0.851,0.8240000000000001,0.889,0.746,641.1203,0.03004715560508849,12.08384047705322,1.4945756198847473,26.920719950932998,115.0
115,0.968,0.7859999999999999,0.28600000000000003,1.9709999999999999,0.63,5.05,0.413,0.555,0.7509999999999999,0.703,1.421,0.986,628.5039,0.029351419477805826,9.614489920707822,1.7393748827927744,23.926077186599997,116.0
116,0.888,1.599,0.33899999999999997,0.7859999999999999,0.982,49.15,0.402,0.8590000000000001,0.9940000000000001,0.722,0.8140000000000001,0.7070000000000001,611.0847,0.022624850125857698,8.041995444721026,1.2969376927310587,24.344766899502,117.0
117,0.8370000000000001,1.251,0.106,1.545,0.53,15.85,0.6779999999999999,0.6679999999999999,0.9790000000000001,0.914,1.166,0.872,670.7175,0.02400343826778504,10.919791062801044,1.185108682896762,29.555165529210004,118.0
118,0.9329999999999999,0.747,0.006,1.979,0.674,51.85,0.818,0.726,0.7859999999999999,0.9279999999999999,0.259,0.8,669.6495,0.03305833714116541,11.413003589062885,1.2113012999944504,30.526291131999997,119.0
119,0.772,0.917,0.040999999999999995,1.413,0.414,37.45,0.242,0.769,0.841,0.934,0.8590000000000001,0.998,722.4791,0.02015008055217451,9.038921621757742,0.916893313513592,30.2475776673,120.0
120,0.027999999999999997,1.351,0.361,1.475,0.79,43.75,0.042,0.816,1.1159999999999999,0.6970000000000001,0.7609999999999999,0.953,672.7230000000001,0.01974112435007792,7.7176884805872366,1.2137876756484374,25.233229637210002,121.0
121,0.23800000000000002,1.7,0.19899999999999998,1.646,0.73,-19.25,0.762,0.762,1.006,1.013,0.446,0.983,699.7878,0.03758221038255866,15.067403082401828,1.557838441508641,30.05323421934,122.0
122,0.953,1.956,0.259,1.065,0.518,7.75,0.182,0.634,0.966,0.777,0.581,0.978,643.2615,0.02956431020064855,9.401060079300075,1.7384342258879617,25.08405809067,123.0
123,0.6729999999999999,1.2890000000000001,0.436,2.1959999999999997,0.494,-46.25,0.812,0.841,1.0959999999999999,0.884,0.9109999999999999,0.743,741.048,0.024850265895062867,7.7399475015508985,1.831959973272426,27.015844434066,124.0
124,0.44799999999999995,1.0959999999999999,0.079,1.5530000000000002,0.298,95.05,0.382,0.636,1.124,0.961,0.604,0.897,723.975,0.02549633305467572,5.8791615752718185,0.6821635870608032,32.038554429899996,125.0
