,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8,dim 9,dim 10,Element,Part,Time,MPa,Error_GRF,MechWork,ErrorAng,ErrorMom,QS,Energy Gen,Energy Abs,RoM,Experiment No.
20,16.912,13.746,3.296,4.879,12.954,8.204,7.096,10.737,7.888,12.321,10.0,9.0,100.0,1509.1078,0.042768326103233445,5.659794322810371,2.003437955559774,0.82629377044246,1.414865863001117,10.013268054102006,3.375481880806761,25.8166527746,21.0
21,5.829,13.112,9.471,14.696,5.512,19.446,10.421,18.971,11.529,4.721,4.0,3.0,94.0,562.4034,0.02218319414849698,1.69342201170767,1.694797240807178,0.5898479215324705,1.1423225811698243,6.720573003485709,1.6367035869491788,9.051836014000003,22.0
22,15.329,15.962,3.771,2.504,15.171,16.279,19.762,18.654,6.938,10.262,23.0,13.0,106.0,1434.7198,0.05753683410531053,7.117335392860197,2.4210163373827953,1.3366824586129993,1.8788493979978973,11.407626727482548,3.7240684620625633,33.344225927996,23.0
23,8.837,19.129,8.996,17.704,3.296,15.487,11.212,11.212,6.621,2.821,28.0,17.0,93.0,634.8002,0.022271965918630555,0.22858755396754182,1.639525131644646,0.4941464087282284,1.0668357701864373,6.215615360788782,1.3054913412117448,5.305427552000001,24.0
24,2.821,2.662,11.054,2.662,18.654,11.054,7.729,4.562,1.871,11.371,5.0,30.0,30.0,1602.4907,0.03050182581257278,5.221524111759509,2.345419282030049,2.572715448632354,2.4590673653312014,12.14737653500564,4.724934662596821,39.76107966872,25.0
25,18.812,4.879,12.954,8.362,9.629,17.229,6.304,14.854,4.087,13.429,2.0,5.0,88.0,762.9818,0.028159534968846475,1.1989621921758227,1.4504132228912086,0.5023313420342487,0.9763722824627286,6.643952763366461,1.3667792650592931,6.057899475000003,26.0
26,11.212,12.638,11.371,13.746,12.796,14.221,15.171,13.271,9.154,4.246,1.0,31.0,36.0,276.5855,0.025326303305467767,0.3015896379939915,1.5048497712578208,0.41556259294760367,0.9602061821027122,5.847290681277776,0.7064521646721584,2.0332336430000026,27.0
27,6.938,10.104,10.896,17.071,17.704,11.529,3.771,10.262,16.279,3.138,6.0,31.0,30.0,495.5605,0.02631475464940195,0.8728397486740946,1.5017640590816312,0.4262281533031956,0.9639961061924134,6.571760584956055,1.340193647587216,5.278314590999997,28.0
28,10.421,7.729,15.171,6.304,14.538,14.062,11.846,17.546,19.762,7.096,3.0,5.0,95.0,308.1878,0.024612637486740016,0.6584180435855393,1.5118687594272462,0.43943912682321223,0.9756539431252292,6.155977196335192,1.1044343479090664,4.689336776999998,29.0
29,10.896,14.854,19.604,19.604,1.871,6.146,14.379,18.021,12.479,3.929,26.0,17.0,95.0,1416.9124,0.0379876797027552,1.1773676194456493,1.8741744147798842,0.5725521140982198,1.223363264439052,7.290863025505016,1.5395369552820315,7.834403991999995,30.0
30,16.754,11.054,18.496,7.888,14.696,2.821,15.013,5.829,19.129,16.279,2.0,23.0,5.0,277.9134,0.03470309082681529,0.17976932080044655,1.412482809643306,0.35497526136491764,0.8837290355041119,6.669145207657764,0.6500964819764479,1.9653186800000029,31.0
31,2.188,18.021,19.762,1.871,3.613,9.629,19.129,2.504,3.138,12.479,2.0,13.0,23.0,1193.7867,0.01907828642086916,1.4237698311084857,2.5752503598257617,3.006255909341088,2.790753134583425,11.49043222258924,4.509054461547677,48.033891227222995,32.0
32,11.529,11.212,16.279,10.896,19.129,13.746,16.596,6.938,10.737,19.604,4.0,5.0,92.0,153.0403,0.0316661237830794,0.27916644028641246,1.4502537312943307,0.3810014238742518,0.9156275775842913,6.152241205276743,0.6445249163403264,1.8569545739999995,33.0
33,6.462,10.421,16.596,16.121,7.413,6.304,5.829,10.104,3.296,18.179,5.0,30.0,30.0,431.0492,0.022357376972733944,0.9449378137405995,1.5618544733740192,0.4612684786232448,1.011561475998632,6.48653306955303,1.3756701571576495,6.039075851,34.0
34,1.079,16.121,11.846,8.521,7.729,11.212,1.079,18.496,17.862,13.904,26.0,0.0,24.0,2828.0264,0.016517797088294116,1.4129419082744739,1.4330612823948068,2.899737305455885,2.166399293925346,18.299270157029618,7.81846278688077,35.659532673950004,35.0
35,18.338,13.588,14.379,5.196,6.621,3.296,1.554,5.354,18.654,1.079,1.0,31.0,17.0,3648.9368,0.044597308414560485,0.056890445019947,1.3403248594573236,0.2492954160310238,0.7948101377441736,13.791380649322655,3.376559498664437,4.541589736999999,36.0
36,2.346,9.471,17.388,10.104,2.029,19.604,15.646,8.679,10.262,11.054,3.0,3.0,100.0,1291.7943,0.02895429746855224,5.873049427589896,2.7445843540021038,2.668425674918984,2.706505014460544,10.360089534136772,3.641687556173419,44.76072964093299,37.0
37,12.638,10.896,1.871,15.013,10.579,5.829,2.188,12.162,18.971,9.312,8.0,9.0,105.0,1634.5146,0.04335465557941176,0.8748471385533514,2.6832331645755465,2.7849805316173213,2.7341068480964337,11.286827108876583,3.5454543245856995,43.05956904569,38.0
38,9.312,15.646,5.829,15.487,19.762,14.696,10.896,15.171,12.796,2.188,6.0,31.0,30.0,995.8289,0.031370446153945436,0.6592300693909836,1.5178245950311113,0.4140672569571822,0.9659459259941467,7.320652810362957,1.6311495426137377,5.984073639000002,39.0
39,17.071,18.338,4.087,19.921,2.346,12.162,6.462,9.788,15.329,16.596,9.0,9.0,93.0,948.7512,0.04543728790556471,1.6444673093022462,1.9000469689459945,0.6814313364793589,1.2907391527126766,8.438872895104872,2.365974369030572,14.065000534,40.0
40,12.321,17.704,15.013,16.279,1.079,12.638,13.588,10.421,15.013,15.962,26.0,17.0,101.0,2240.842,0.02771869452532665,3.29189811070425,2.610695856481549,0.7092991892754075,1.6599975228784782,6.472659553101163,1.4310664759130511,14.024385453,41.0
41,14.062,8.679,16.438,15.962,14.379,12.321,5.512,18.812,2.662,6.462,2.0,30.0,30.0,637.8201,0.03029930942705824,0.2719312955983802,1.3935670703747438,0.3949168199777797,0.8942419451762618,6.1645913042767075,0.7780260330858906,1.5459880829999975,42.0
42,11.371,2.504,8.837,4.087,4.721,3.138,9.471,7.571,6.779,2.662,5.0,5.0,108.0,2177.4346,0.03426796863149087,12.706976940557528,2.008897701916313,1.647611928142645,1.8282548150294788,10.698118322270394,4.07111735141947,28.59947416943,43.0
43,6.621,1.871,19.921,11.212,8.204,15.171,3.613,19.762,12.162,7.888,2.0,5.0,114.0,2272.2102,0.0503791317451808,4.53918692765969,2.5126396982924124,2.5096799456020875,2.51115982194725,10.842951360835468,3.5904914765328373,28.61415477856,44.0
44,16.596,9.312,12.479,4.721,17.546,5.354,12.162,3.771,18.338,10.421,23.0,13.0,92.0,561.7953,0.031108427255559158,0.4873760010683901,1.5038287586796824,0.4002235700781782,0.9520261643789303,7.0167496847143624,1.392409197569784,6.546508789000001,45.0
